ImageID,Prediction,Score
00a159a661a2f5aa,1,7.285502252825088e-06
00a159a661a2f5aa,0,7.139385767085081e-06
00a159a661a2f5aa,1,7.138866715323621e-06
00a159a661a2f5aa,0,7.1277844864522915e-06
00a159a661a2f5aa,1,7.056846543234541e-06
00a159a661a2f5aa,1,7.053659426613838e-06
00a159a661a2f5aa,1,7.028988373420992e-06
00a159a661a2f5aa,0,6.914430519419572e-06
00a159a661a2f5aa,1,6.905690787304746e-06
00a159a661a2f5aa,1,6.8852849366974846e-06
00a159a661a2f5aa,1,6.855811612576764e-06
00a159a661a2f5aa,1,6.840676567526398e-06
00a159a661a2f5aa,1,6.827331609460264e-06
00a159a661a2f5aa,0,6.8246138492615074e-06
00a159a661a2f5aa,0,6.8196515694839075e-06
00a159a661a2f5aa,1,6.796668845880559e-06
00a159a661a2f5aa,1,6.776704904065823e-06
00a159a661a2f5aa,1,6.627459940581627e-06
00a159a661a2f5aa,1,6.610862032269258e-06
00a159a661a2f5aa,1,6.566526396068894e-06
00a159a661a2f5aa,0,6.557745767792022e-06
00a159a661a2f5aa,1,6.5338610302742e-06
00a159a661a2f5aa,0,6.530978518831371e-06
00a159a661a2f5aa,0,6.5200749804404765e-06
00a159a661a2f5aa,1,6.4502801599778415e-06
00a159a661a2f5aa,1,6.442627971024655e-06
00a159a661a2f5aa,1,6.432633051772146e-06
00a159a661a2f5aa,0,6.43203386041371e-06
00a159a661a2f5aa,0,6.431906712776343e-06
00a159a661a2f5aa,1,6.429133462609774e-06
00a159a661a2f5aa,1,6.429058069224592e-06
00a159a661a2f5aa,1,6.422424011576581e-06
00a159a661a2f5aa,1,6.4188943246327995e-06
00a159a661a2f5aa,1,6.389010311985807e-06
00a159a661a2f5aa,1,6.3848352219264e-06
00a159a661a2f5aa,1,6.36105085002842e-06
00a159a661a2f5aa,0,6.34438804112798e-06
00a159a661a2f5aa,0,6.342857882104729e-06
00a159a661a2f5aa,1,6.336029257791583e-06
00a159a661a2f5aa,1,6.33270130638175e-06
00a159a661a2f5aa,1,6.3284111588286094e-06
00a159a661a2f5aa,1,6.327091315252493e-06
00a159a661a2f5aa,1,6.32593800726709e-06
00a159a661a2f5aa,1,6.322954188268632e-06
00a159a661a2f5aa,1,6.294524980312447e-06
00a159a661a2f5aa,1,6.2707583096328535e-06
00a159a661a2f5aa,1,6.249470345641297e-06
00a159a661a2f5aa,1,6.2347036430881494e-06
00a159a661a2f5aa,1,6.2327435332307766e-06
00a159a661a2f5aa,1,6.231940906771868e-06
00a159a661a2f5aa,1,6.2302513889393855e-06
00a159a661a2f5aa,1,6.224137024069933e-06
00a159a661a2f5aa,1,6.215001777037034e-06
00a159a661a2f5aa,1,6.210988116707345e-06
00a159a661a2f5aa,1,6.208919988778826e-06
00a159a661a2f5aa,0,6.202601456195094e-06
00a159a661a2f5aa,1,6.1858178606382555e-06
00a159a661a2f5aa,0,6.174727738839282e-06
00a159a661a2f5aa,1,6.170305421222495e-06
00a159a661a2f5aa,1,6.166702114416271e-06
